head_entity,head_type,relation,tail_type,tail_entity
231,paper,use,method,ATT-IndRNN-CNN
231,paper,focus,problems,指代消解
指代消解,problems,solve,method,ATT-IndRNN-CNN
232,paper,use,method,BERT
232,paper,focus,problems,事件抽取
事件抽取,problems,solve,method,BERT
233,paper,use,method,BERT
233,paper,focus,problems,术语标准化
术语标准化,problems,solve,method,BERT
234,paper,use,method,ECPA
234,paper,focus,problems,情绪原因识别
情绪原因识别,problems,solve,method,ECPA
235,paper,use,method,ELMo
235,paper,use,method,Transformer
235,paper,focus,problems,情感分析
情感分析,problems,solve,method,ELMo
情感分析,problems,solve,method,Transformer
236,paper,use,method,ERNIE-BiGRU
236,paper,focus,problems,摘要语步自动识别
摘要语步自动识别,problems,solve,method,ERNIE-BiGRU
237,paper,use,method,ERNIE-Gram
237,paper,use,method,TinyBERT
237,paper,focus,problems,关系体系转换
关系体系转换,problems,solve,method,ERNIE-Gram
关系体系转换,problems,solve,method,TinyBERT
238,paper,use,method,GAN
238,paper,focus,problems,机器翻译
机器翻译,problems,solve,method,GAN
239,paper,use,method,Gate-ResNet-D
239,paper,focus,problems,关系提取
关系提取,problems,solve,method,Gate-ResNet-D
240,paper,use,method,Graph Transformer
240,paper,focus,problems,问题生成
问题生成,problems,solve,method,Graph Transformer
241,paper,use,method,GMM
241,paper,focus,problems,文本规则挖掘
文本规则挖掘,problems,solve,method,GMM
242,paper,use,method,HowNet
242,paper,focus,problems,表示学习
表示学习,problems,solve,method,HowNet
243,paper,use,method,HRED
243,paper,focus,problems,对话任务
对话任务,problems,solve,method,HRED
244,paper,use,method,JCWA-DLSTM
244,paper,focus,problems,命名实体识别
命名实体识别,problems,solve,method,JCWA-DLSTM
245,paper,use,method,LSTM
245,paper,focus,problems,篇章依存分析
篇章依存分析,problems,solve,method,LSTM
246,paper,use,method,PCFG
246,paper,focus,problems,句法分析
句法分析,problems,solve,method,PCFG
247,paper,use,method,QU-NNs
247,paper,focus,problems,问题的解答
问题的解答,problems,solve,method,QU-NNs
248,paper,use,method,Rule-BertAtten
248,paper,focus,problems,人物识别
人物识别,problems,solve,method,Rule-BertAtten
249,paper,use,method,Self-Attention
249,paper,focus,problems,角色标注
角色标注,problems,solve,method,Self-Attention
250,paper,use,method,Self-Attention
250,paper,use,method,Bi-LSTM
250,paper,focus,problems,情感分析
情感分析,problems,solve,method,Self-Attention
情感分析,problems,solve,method,Bi-LSTM
251,paper,use,method,Transformer-BiLSTM-CRF
251,paper,focus,problems,命名实体识别
命名实体识别,problems,solve,method,Transformer-BiLSTM-CRF
252,paper,use,method,Transformer
252,paper,focus,problems,AMR-to-Text生成
AMR-to-Text生成,problems,solve,method,Transformer
253,paper,use,method,Transformer
253,paper,focus,problems,情感分析
情感分析,problems,solve,method,Transformer
254,paper,focus,problems,机构名翻译
255,paper,use,method,Transformer
255,paper,focus,problems,单字词检错
单字词检错,problems,solve,method,Transformer
256,paper,use,method,Transformer
256,paper,focus,problems,语法纠错
语法纠错,problems,solve,method,Transformer
257,paper,use,method,半监督学习
257,paper,focus,problems,事件聚类
事件聚类,problems,solve,method,半监督学习
258,paper,use,method,半监督
258,paper,focus,problems,词典构建
词典构建,problems,solve,method,半监督
259,paper,use,method,半监督学习
259,paper,use,method,规则相结合
259,paper,focus,problems,命名实体识别
命名实体识别,problems,solve,method,半监督学习
命名实体识别,problems,solve,method,规则相结合
260,paper,use,method,贝叶斯
260,paper,focus,problems,实体属性补全
实体属性补全,problems,solve,method,贝叶斯
261,paper,use,method,部分标签数据
261,paper,use,method,经验分布
261,paper,focus,problems,命名实体识别
命名实体识别,problems,solve,method,部分标签数据
命名实体识别,problems,solve,method,经验分布
262,paper,use,method,Albert
262,paper,focus,problems,实体关系抽取
实体关系抽取,problems,solve,method,Albert
263,paper,use,method,层次混合注意力机制
263,paper,focus,problems,文本分类
文本分类,problems,solve,method,层次混合注意力机制
264,paper,use,method,变分自编码器
264,paper,focus,problems,文本风格转换
文本风格转换,problems,solve,method,变分自编码器
265,paper,use,method,注意力机制
265,paper,focus,problems,文本分类
文本分类,problems,solve,method,注意力机制
266,paper,use,method,层次注意力机制
266,paper,focus,problems,情感分析
情感分析,problems,solve,method,层次注意力机制
267,paper,use,method,代表性答案选择
267,paper,use,method,注意力机制
267,paper,focus,problems,自动评分
自动评分,problems,solve,method,代表性答案选择
自动评分,problems,solve,method,注意力机制
268,paper,use,method,抽象事理图谱
268,paper,focus,problems,答题求解
答题求解,problems,solve,method,抽象事理图谱
269,paper,use,method,注意力机制
269,paper,use,method,CNN
269,paper,focus,problems,知识表示
知识表示,problems,solve,method,注意力机制
知识表示,problems,solve,method,CNN
270,paper,use,method,单语语料
270,paper,use,method,词向量对齐
270,paper,focus,problems,机器翻译
机器翻译,problems,solve,method,单语语料
机器翻译,problems,solve,method,词向量对齐
271,paper,use,method,半知识蒸馏
271,paper,focus,problems,机器翻译
机器翻译,problems,solve,method,半知识蒸馏
272,paper,use,method,迭代式回译策略
272,paper,focus,problems,机器翻译
机器翻译,problems,solve,method,迭代式回译策略
273,paper,use,method,对话约束
273,paper,focus,problems,回复生成
回复生成,problems,solve,method,对话约束
274,paper,use,method,LSTM
274,paper,focus,problems,情绪识别
情绪识别,problems,solve,method,LSTM
275,paper,use,method,注意力
275,paper,focus,problems,情感分析
情感分析,problems,solve,method,注意力
276,paper,use,method,自注意力
276,paper,focus,problems,角色识别
角色识别,problems,solve,method,自注意力
277,paper,use,method,注意力
277,paper,focus,problems,情感分类
情感分类,problems,solve,method,注意力
278,paper,use,method,DPCNN
278,paper,focus,problems,文本分类
文本分类,problems,solve,method,DPCNN
279,paper,use,method,多模态异质动态融合
279,paper,focus,problems,情绪分析
情绪分析,problems,solve,method,多模态异质动态融合
280,paper,use,method,多任务双向长短时记忆
280,paper,focus,problems,关系分析
关系分析,problems,solve,method,多任务双向长短时记忆
281,paper,use,method,多任务学习
281,paper,focus,problems,自动生成
自动生成,problems,solve,method,多任务学习
282,paper,use,method,多任务学习
282,paper,focus,problems,阅读理解
阅读理解,problems,solve,method,多任务学习
283,paper,use,method,多任务学习
283,paper,focus,problems,实体关系抽取
实体关系抽取,problems,solve,method,多任务学习
284,paper,use,method,多任务预训练
284,paper,focus,problems,情感分类
情感分类,problems,solve,method,多任务预训练
285,paper,use,method,多视角注意力机制
285,paper,focus,problems,专利匹配
专利匹配,problems,solve,method,多视角注意力机制
286,paper,use,method,Bi-LSTM-CRF
286,paper,focus,problems,人名识别
人名识别,problems,solve,method,Bi-LSTM-CRF
287,paper,use,method,自注意力BLSTM
287,paper,focus,problems,实体关系抽取
实体关系抽取,problems,solve,method,自注意力BLSTM
288,paper,use,method,多通道BERT
288,paper,focus,problems,情感分类
情感分类,problems,solve,method,多通道BERT
289,paper,use,method,多通道Bi-GRU
289,paper,use,method,损失再平衡
289,paper,focus,problems,情感分类
情感分类,problems,solve,method,多通道Bi-GRU
情感分类,problems,solve,method,损失再平衡
290,paper,use,method,多通道双向长短期记忆
290,paper,focus,problems,情感分析
情感分析,problems,solve,method,多通道双向长短期记忆
291,paper,use,method,多头注意力
291,paper,use,method,BiLSTM
291,paper,use,method,DAM
291,paper,focus,problems,问答匹配
问答匹配,problems,solve,method,多头注意力
问答匹配,problems,solve,method,BiLSTM
问答匹配,problems,solve,method,DAM
292,paper,use,method,多头注意力机制Tree-LSTM
292,paper,focus,problems,语义相似度计算
语义相似度计算,problems,solve,method,多头注意力机制Tree-LSTM
293,paper,use,method,多语义融合
293,paper,focus,problems,反讽识别
反讽识别,problems,solve,method,多语义融合
294,paper,use,method,多相似性度量
294,paper,use,method,集合编码
294,paper,focus,problems,属性对齐
属性对齐,problems,solve,method,多相似性度量
属性对齐,problems,solve,method,集合编码
295,paper,use,method,多源知识图谱融合
295,paper,focus,problems,智能导诊
智能导诊,problems,solve,method,多源知识图谱融合
296,paper,use,method,非参数贝叶斯
296,paper,focus,problems,分词
分词,problems,solve,method,非参数贝叶斯
297,paper,use,method,非对称孪生网络
297,paper,focus,problems,相关性分析
相关性分析,problems,solve,method,非对称孪生网络
298,paper,use,method,分段注意力匹配网络
298,paper,focus,problems,关系分类
关系分类,problems,solve,method,分段注意力匹配网络
299,paper,use,method,TextRank
299,paper,focus,problems,摘要生成
摘要生成,problems,solve,method,TextRank
300,paper,use,method,GRU
300,paper,focus,problems,实体关系抽取
实体关系抽取,problems,solve,method,GRU
301,paper,use,method,生成对抗
301,paper,focus,problems,谣言检测
谣言检测,problems,solve,method,生成对抗
302,paper,use,method,概率分布
302,paper,use,method,图卷积
302,paper,focus,problems,文本分类
文本分类,problems,solve,method,概率分布
文本分类,problems,solve,method,图卷积
303,paper,use,method,对比学习
303,paper,focus,problems,关系识别
关系识别,problems,solve,method,对比学习
304,paper,use,method,高斯混合模型
304,paper,focus,problems,自动标注
自动标注,problems,solve,method,高斯混合模型
305,paper,use,method,BERT
305,paper,use,method,门控多任务学习
305,paper,focus,problems,事件检测
事件检测,problems,solve,method,BERT
事件检测,problems,solve,method,门控多任务学习
306,paper,use,method,规则
306,paper,use,method,统计
306,paper,focus,problems,自动查错
自动查错,problems,solve,method,规则
自动查错,problems,solve,method,统计
307,paper,use,method,轨迹时空词向量
307,paper,focus,problems,特征识别
特征识别,problems,solve,method,轨迹时空词向量
308,paper,use,method,关键体词抽取
308,paper,focus,problems,自动文摘
自动文摘,problems,solve,method,关键体词抽取
309,paper,use,method,宏观语义表示
309,paper,focus,problems,关系识别
关系识别,problems,solve,method,宏观语义表示
310,paper,use,method,混合表示
310,paper,focus,problems,事件检测
事件检测,problems,solve,method,混合表示
311,paper,use,method,混合策略
311,paper,focus,problems,虚词识别
虚词识别,problems,solve,method,混合策略
312,paper,use,method,混合多头注意力
312,paper,use,method,胶囊网络
